CODGEO;POP18;Lits marchands 2018 (hors PtoP);Lits touristiques 2021 inc. PtoP;P18_RSECOCC;Lits marchands 2015 (hors PtoP);P15_RSECOCC;LIBGEO
6153;1116;658;7794.3820598372;1333.47641196744;728;1352.0;Valdeblore
6154;467;0;1607.0229885057452;315.804597701149;0;319.399470899471;Valderoure
6155;27249;1189;35628.4469225519;5935.68938451038;1442;6024.93459537804;Vallauris
6156;161;0;437.573033707865;84.314606741573;0;83.5889860465116;Venanson
6157;18966;1862;14055.4123196359;1696.68246392718;1874;1856.50538346594;Vence
6158;772;0;819.877192982455;157.175438596491;0;154.726770018353;Villars-sur-Var
6159;5099;854;17278.71866140845;2610.94373228169;1112;2529.0;Villefranche-sur-Mer
6160;88;24;462.0;84.0;24;88.6518518518519;Villeneuve-d'Entraunes
6161;16003;4233;25407.29600588305;3829.05920117661;4311;4365.51241291269;Villeneuve-Loubet
6162;706;70;3638.9344729344753;682.586894586895;50;654.998889180397;La Brigue
6163;2228;295;5520.537943421645;989.307588684329;295;960.280037778432;Tende
17002;138;0;45.0;7.0;0;11.0;Agudelle
17003;4190;246;623.0;51.0;246;51.4197530864197;Aigrefeuille-d'Aunis
17004;216;952;2833.0;330.0;961;307.44;Île-d'Aix
17005;199;0;112.777777777778;13.5555555555556;0;11.4490527393753;Allas-Bocage
17006;258;0;40.0;8.0;0;6.09756097560976;Allas-Champagne
17007;323;0;56.0392156862745;9.6078431372549;0;8.0;Anais
17008;2287;0;352.7184149085645;34.3436829817129;0;29.7257889009793;Andilly
17009;1104;0;106.253012048193;11.4506024096386;0;8.77307356063444;Angliers
17010;4095;1094;3354.34401281538;233.868802563076;1096;250.493392070485;Angoulins
17011;390;0;135.9736506587335;10.7947301317467;0;14.3093922651934;Annepont
17012;161;0;64.0;10.0;0;13.2680412371134;Annezay
17013;352;0;142.67475728155352;23.3349514563107;0;23.51443001443;Antezant-la-Chapelle
17015;771;441;1318.5686274509849;114.313725490197;441;101.820099475975;Arces
17016;789;132;249.8440544578415;17.3688108915683;132;13.2096774193548;Archiac
17017;687;0;308.77272727272754;54.9545454545455;0;52.1086752270592;Archingeay
17018;865;0;226.335561497326;34.6671122994652;0;34.2727272727272;Ardillières
17019;1325;2983;9399.0;1080.0;3331;1071.22152261019;Ars-en-Ré
17020;351;0;29.0;5.0;0;3.55072463768116;Arthenac
17021;3572;912;3331.32164282418;419.864328564836;886;381.910379029401;Arvert
17022;1051;0;290.675105485232;43.7350210970464;0;44.0;Asnières-la-Giraud
17023;378;0;119.306603773585;13.061320754717;0;14.1555555555556;Aujac
17024;1369;20;547.0;85.0;20;98.5432372505544;Aulnay
17025;735;0;343.08162883345346;58.4163257666907;0;42.0;Aumagne
17026;387;0;215.0;39.0;0;29.3466135458167;Authon-Ébéon
17027;483;0;119.0;16.0;0;19.0327868852459;Avy
17028;9371;1229;3492.2259919494;196.64519838988;1245;162.738620234807;Aytré
17029;208;0;98.3831775700935;17.4766355140187;0;17.492199219922;Bagnizeau
17030;553;0;126.3424657534245;20.0684931506849;0;22.4234432234432;Balanzac
17031;198;0;113.357142857143;22.6714285714286;0;21.7301940978412;Ballans
17032;817;75;140.3596986817325;16.8719397363465;75;19.0;Ballon
17033;502;0;110.47798742138347;19.0955974842767;0;28.211320754717;La Barde
17034;474;168;888.7;119.34;177;124.071929824562;Barzan
17035;116;0;51.5356161488055;10.3071232297611;0;7.0;Bazauges
17036;793;0;468.47181372549;21.094362745098;0;21.0;Beaugeay
17037;652;0;206.88005728607249;35.9760114572145;16;34.3408521303258;Beauvais-sur-Matha
17038;695;0;81.840174129353;12.7680348258706;0;21.2350746268657;Bedenac
17039;210;0;180.498724489796;10.2997448979592;0;13.0;Belluire
17041;1665;178;301.0615384615385;33.8123076923077;178;34.9743653841783;Benon
17042;450;0;88.905969566914;12.3811939133828;0;13.0;Bercloux
17043;773;0;294.587529976019;49.1175059952038;0;45.4627848101266;Bernay-Saint-Martin
17044;1169;16;130.83657525871251;19.3673150517425;24;21.1502683363148;Berneuil
17045;1048;0;87.375;12.075;0;12.759742460183;Beurlay
17046;407;0;124.8604269293925;15.9720853858785;0;20.0;Bignay
17047;235;0;30.0;6.0;0;7.11111111111112;Biron
17048;324;0;118.0;18.0;0;13.3005780346821;Blanzac-lès-Matha
17049;83;0;82.0;16.0;0;13.203125;Blanzay-sur-Boutonne
17050;661;0;108.2370005473455;10.2474001094691;0;14.0536398467433;Bois
17051;2276;7679;19818.79416809605;1723.15883361921;8210;1829.49343514156;Le Bois-Plage-en-Ré
17052;708;0;254.179176755448;36.4358353510896;0;35.372203697109;Boisredon
17053;1362;0;247.545981587807;47.9091963175614;0;48.8609865470852;Bords
17054;216;0;70.23449750534564;9.44689950106913;0;8.06557377049181;Boresse-et-Martron
17055;379;0;62.645117845118;12.5290235690236;0;10.0;Boscamnant
17056;616;0;112.0;16.0;0;17.2881355932203;Bougneau
17057;927;0;65.0;10.0;0;9.52941176470588;Bouhet
17058;3586;728;3123.0;419.0;524;329.555138432661;Bourcefranc-le-Chapus
17059;1358;0;89.0;4.0;0;8.76521739130435;Bourgneuf
17060;232;0;138.582191780822;17.1164383561644;24;16.5822200230909;Boutenac-Touvent
17061;136;0;57.037037037037;11.4074074074074;0;9.0;Bran
17062;222;0;168.9617834394905;31.5923566878981;0;29.7435897435897;Bresdon
17063;463;0;92.061946902655;16.212389380531;0;15.1724358974359;Breuil-la-Réorte
17064;3050;1854;3644.0;305.0;1857;327.958860759494;Breuillet
17065;1782;0;141.62427572801;12.124855145602;0;13.0;Breuil-Magné
17066;240;0;69.0857142857145;12.6171428571429;0;7.0;Brie-sous-Archiac
17067;180;0;64.19753086419749;12.8395061728395;0;18.0;Brie-sous-Matha
17068;242;63;196.6603773584905;21.1320754716981;63;19.9230769230769;Brie-sous-Mortagne
17069;240;0;114.4651162790695;12.0930232558139;0;10.8834688346883;Brives-sur-Charente
17070;929;14;160.2425447316105;25.2485089463221;14;26.2481719552427;Brizambourg
17071;523;0;121.8032786885245;22.3606557377049;0;21.8171830985916;La Brousse
17072;1314;0;201.0;22.0;0;21.4646017699115;Burie
17073;1315;0;125.523286900239;24.7046573800478;0;25.0;Bussac-sur-Charente
17074;1061;14;99.0;11.0;14;16.2650103519669;Bussac-Forêt
17075;1386;18;218.778038601982;24.7556077203964;18;22.2711267605634;Cabariot
17076;325;75;200.0;23.0;75;23.7790886686592;Celles
17077;1222;24;238.428950269658;43.8857900539316;24;35.0;Cercoux
17078;511;0;107.068952307987;18.0137904615974;0;13.057268722467;Chadenac
17079;1620;0;1044.57399103139;184.914798206278;0;177.121076233184;Chaillevette
17080;957;0;195.0;20.0;0;30.7125890736342;Chambon
17081;380;0;40.4875429553265;8.0975085910653;0;14.0721649484536;Chamouillac
17082;535;0;110.226480836237;13.0452961672474;0;12.840618336887;Champagnac
17083;627;0;155.0;23.0;0;28.2709677419355;Champagne
17084;670;0;227.0;40.0;0;35.7977207977208;Champagnolles
17085;412;0;144.619718309859;23.3239436619718;0;20.5310859976174;Champdolent
17086;3671;306;757.634703196347;80.9269406392694;300;63.0;Chaniers
17087;197;0;41.363636363636346;8.27272727272727;0;12.0;Chantemerle-sur-la-Soie
17089;1030;0;97.247906197655;16.649581239531;0;17.0;La Chapelle-des-Pots
17091;2022;22;240.754594520735;25.150918904147;0;20.0;Charron
17092;160;0;25.23809523809525;5.04761904761905;0;3.0;Chartuzac
17093;4307;3416;11286.14075491325;1385.02815098265;3396;1235.0;Le Château-d'Oléron
17094;5963;2614;13704.15759813445;1856.83151962689;2606;1713.98871403529;Châtelaillon-Plage
17095;222;0;134.0;22.0;0;14.1014492753623;Chatenet
17096;79;0;46.0;1.0;0;0.812865497076023;Chaunac
17097;782;14;153.380352644836;27.4760705289672;14;25.9699248120301;Le Chay
17098;612;0;1028.0;177.0;165;154.590436590437;Chenac-Saint-Seurin-d'Uzet
17099;651;0;143.663129973475;25.132625994695;0;23.16650085457;Chepniers
17100;1129;0;210.0;30.0;0;28.2356902356902;Chérac
